,column_i,column_j,solution_value
0,1,1,9.0
1,1,2,12.0
2,1,3,13.0
3,1,4,17.0
4,1,5,10.0
5,2,1,13.0
6,2,2,4.0
7,2,3,1.0
8,2,4,10.0
9,2,5,7.0
10,3,1,2.0
11,3,2,8.0
12,3,3,1.0
13,3,4,10.0
14,3,5,10.0
15,4,1,4.0
16,4,2,15.0
17,4,3,0.0
18,4,4,9.0
19,4,5,5.0
20,5,1,18.0
21,5,2,20.0
22,5,3,10.0
23,5,4,19.0
24,5,5,20.0
25,6,1,11.0
26,6,2,15.0
27,6,3,14.0
28,6,4,0.0
29,6,5,13.0
30,7,1,13.0
31,7,2,4.0
32,7,3,10.0
33,7,4,14.0
34,7,5,4.0
35,8,1,8.0
36,8,2,4.0
37,8,3,11.0
38,8,4,3.0
39,8,5,4.0
40,9,1,16.0
41,9,2,8.0
42,9,3,2.0
43,9,4,18.0
44,9,5,18.0
45,10,1,2.0
46,10,2,7.0
47,10,3,7.0
48,10,4,0.0
49,10,5,9.0
